Batman2 vs2 Superman2 	batman2 vs2 superman2 
Yes1 , it2 has2 been2 out2 for2 quite2 some2 time2 . Maybe2 it's2 on2 Netflix2 . 	Han1 , kafi1 samay1 se1 bahar1 hai1 . Shayad1 ye2 Netflix2 pe1 bhi1 hai1 . 
Do1 you2 like2 comedies2 like2 this2 , or2 are2 you2 more2 into2 dramas2 ? 	Kya1 tumhe1 aisi1 comedies2 pasand2 hai1 , ya1 tum1 tumhe1 dramas1 zyada1 pasand1 hai1 ? 
My2 favorite2 movie2 genre2 is2 science2 fiction2 , but2 I2 do2 like2 a2 good2 comedy2 , or2 a2 good2 drama2 . If2 it's2 a2 good2 movie2 , I2 really1 don't1 care2 what2 genre2 it2 is2 . 	Meri1 favorite2 movie2 genre2 hai1 science2 fiction2 , but1 mujhe1 acchi1 comedy1 bhi1 acchi1 lagti1 hai1 , ya1 achha1 drama1 . Agar1 ye1 ek1 acchi1 movie1 hai1 , to1 main1 asal1 mein1 parwaah1 nhi1 krti1 ki1 ye1 kis2 genre2 ki1 hai1 . 
That's2 true2 . The2 first2 review2 under2 the2 " critical2 response2 " section2 is2 pretty2 harsh2 . I'm2 not2 sure2 I2 really2 ever2 read2 or2 care2 about2 movie2 reviews2 , just2 the2 ratings2 % online2 	Yeh1 sahi1 hai1 . " critical2 response2 " section2 ka1 pehla1 review2 bahut2 harsh1 hai1 . Main1 sure1 nhi1 huin1 main1 movie2 reviews2 padhne1 ya1 itni1 parwaah1 nhi1 krta1 , sirf1 online2 % ratings2 
When2 looking2 at2 movie2 reviews2 , I2 put2 more2 faith2 in2 actual2 regular2 people2 that2 go2 see2 the2 movie2 then2 I2 do2 official2 critics2 . 	Jab1 movie2 reviews2 dekhte1 , main1 faith2 official2 critics2 se1 zyada1 asal1 regular2 logo2 pe1 dekhta1 huin1 jo1 movie1 dekh1 kar1 aaye1 hain1 
True2 . Looking2 at2 the2 Key2 Scenes2 , I2 feel2 like2 the2 plot2 might2 have2 been2 a2 little2 paint-by-numbers2 and2 relying2 on2 Jim2 Carrey's2 personality2 too2 much2 , which2 is2 probably2 why2 it2 wasn't2 better2 recieved2 . 	Sahi1 . Key2 Scenes2 ko1 dekhte1 hai1 , to1 mujhe1 lagta1 hai1 ki1 plot2 thoda2 paint-by-numbers2 aur2 Jim2 Carrey2 ki1 personality2 pe1 bahut1 zyada1 nirbhar1 hai1 , shayad1 issi1 wajah1 hai1 ki1 better2 nhi1 mila1 . 
Yes1 , I1 can2 I2 didn't2 get2 that2 impression2 . 	Han1 , main1 kar1 skta2 huin1 mujhe1 achha1 impression1 nhi1 mila1 . 
Sorry1 , this2 is2 supposed2 to2 say2 that2 I2 did2 get2 that2 impression2 . 	Sorry1 , ye1 kahana1 chahiye1 ki1 mujhe1 vah1 aabhas1 mila1 
I2 guess2 that's2 part2 of2 his2 appeal2 , he2 can2 take2 any2 kind2 of2 material2 and2 make2 it2 funny2 . Also2 Steve2 Carrell2 is2 a2 great2 , funny2 actor2 too2 and2 I2 can2 see2 him2 being2 a2 good2 villian2 . 	mujhe1 lagata1 hai1 ki1 ye1 unki1 appeal2 ka1 hissa1 hai1 , vah1 kisi1 bhi1 tarah1 ka1 material2 leke1 aur1 use1 funny2 bana1 sakate1 he1 . sath1 hi1 Steve2 Carrell2 ek1 mahaan1 , funny2 actor2 bhi1 hain1 aur1 main1 unhe1 ek1 achchha1 villian1 bhi1 dekh1 sakta1 hu1 . 
Yes1 , he2 is2 pretty2 good2 in2 everything2 he2 does2 . 	Ha1 , vah1 apane1 har1 kaam1 mein1 bahut1 achchhe1 hai1 . 
I2 haven't2 even2 heard2 of2 Metacritic2 or2 CinemaScore2 , to2 be2 honest2 . But2 it's2 weird2 that2 it's2 46/100 on2 Metacritic2 and2 and2 A2 on2 CinemaScore2 . Those2 are2 pretty2 different2 scores2 . 	Maine1 bhi1 Metacritic2 ya2 Cinemascore2 pramanik2 hone1 ke1 bare1 mein1 nahin1 suna1 hai1 . lekin1 yah1 ajib1 hai1 ki1 yah2 Metacritic2 par2 46/100 hai1 aur1 Cinemascore2 pe1 A1 hai1 . yah1 bahut1 alag2 scores2 hain1 . 
That's2 true2 , I'm2 not2 sure2 how2 they2 score2 these2 things2 . 	yah1 sach1 hai1 , mujhe1 yakin1 nahin1 hai1 ki1 ve1 in1 chijo1 ko1 kaise1 score2 karte1 hai1 . 
The2 part2 where2 he2 creates2 the2 email2 system2 to2 answer2 prayers2 and2 sets2 it2 to2 auto-reply2 " yes2 " is2 pretty2 funny2 and2 says2 a2 lot2 about2 religion2 . 	vah1 hissa1 jaha1 vah1 prarthanao1 ka1 javab1 dene1 ke1 liye1 email2 system2 banata1 hai1 aur1 ise2 auto-reply2 " haa2 " ke1 liye1 set1 karata1 hai1 vah1 bahut1 hi1 majedar1 hai1 aur1 dhharm1 ke1 bare1 me1 bahut1 kuchh1 kahata1 hai1 . 
Sounds2 pretty2 funny2 , I2 will2 have2 to2 put2 it2 on2 my2 list2 . 	Bahut1 majedar1 lagata1 hai1 , mujhe1 ise1 apane1 list2 mein1 rakhana1 hoga1 . 
I2 do2 think2 maybe2 some2 of2 the2 scenes2 they2 describe2 with2 Jimmy2 Hoffa's2 body2 sound2 cheesy2 . I'm2 not2 sure2 ! 	Mujhe1 lagata1 hai1 ki1 sayad1 Jimmy2 Hoffa2 ki1 body1 sound1 ke1 saath1 kuchh1 drashyon1 ka1 varnan1 hai1 . main1 sure1 nahin1 hu1 ! 
I2 agree2 with2 that2 statement2 . 	Main1 usse1 sahamat1 hu1 
I2 do2 think2 if2 I2 had2 the2 power2 of2 being2 God2 I'd2 use2 it2 for2 better2 things2 ! 	mujhe1 lagata1 hai1 ki1 agar1 mere1 paas1 God1 hone1 ki1 shakti1 hoti1 to1 main1 isaka1 istemal1 behtar1 chijon1 ke1 liye1 karata1 
For2 sure2 ! 	for2 sure2 
Interesting2 . I2 mean2 , the2 way2 the2 rest2 of2 the2 plot2 wraps2 up2 seems2 pretty2 standard2 . 	Interesting2 . I2 mean1 baaki1 jaise1 plot2 wrap2 up2 hote1 hai1 kaafi1 standard1 lagta1 hai1 
I2 agree2 , however2 , it2 might2 be2 worth2 a2 watch2 . 	I2 agree2 , but2 ek2 time2 watch2 worth2 ho1 sakti1 hai1 
The2 best2 part2 of2 the2 movie2 is2 probably2 the2 middle2 section2 where2 he's2 testing2 out2 all2 of2 his2 powers2 . Seems2 like2 the2 end2 might2 be2 disappointing2 based2 on2 this2 description2 . 	Movie1 ka1 best2 part2 probably2 middle2 section2 hai1 jaha1 wo1 apni1 sari1 power2 test2 karta1 hai1 . Aisa1 lagta1 hai1 k1 end2 description2 k2 basis2 pe2 disappointing2 ho2 sakta1 hai1 
I'm2 not2 the2 hugest2 Jim2 Carrey2 fan2 , but2 I'll2 give2 it2 a2 try2 . 	Main1 Jim2 Carrey2 ka1 bada1 fan1 to1 nahi1 hu1 , but2 main1 ek1 try1 karunga1 
Yeah1 I2 think2 he2 is2 so2 out-there2 that2 this2 is2 a2 perfect2 film2 for2 him2 . 	Haan1 mujhe1 lagta1 hai1 k1 wo1 aise1 bahar1 hai1 k1 ye1 film1 uske1 liye1 perfect1 hai1 
Yeah1 , he2 always2 seems2 to2 play2 some2 crazy2 out-of-control2 guy2 . 	Haan1 wo1 hamesha1 koi1 crazy2 out2 of2 control1 aadmi1 play1 karta1 hai1 
hi1 	hi1 
do1 you2 like2 frozen2 ? 	kya1 tumhe1 frozen2 pasand1 hai1 ? 
I1 love2 Frozen2 ! 	mujhe1 frozen2 accha1 lagta1 hai1 ? 
I1 love2 frozen2 yogurt2 ! but2 also2 this2 movie2 :)2 	mujhe1 frozen2 yogurt2 pasand1 hai1 ! aur1 ye1 movie1 bhi1 :)2 
LOL1 ! I2 Cant1 wait2 for2 the2 second2 movie2 of2 Frozen2 to2 release2 	LOL1 ! Mein1 second2 movie2 ke1 release2 wait1 nahi1 kar1 sakti1 
what2 is2 your2 favorite2 character2 ? 	tumhara1 favorite2 character2 kaunsa1 hai1 ? 
Anna2 because2 shes2 independent2 ! 	Anna1 kyunki1 woh1 independent2 hai1 ! 
yours2 ? 	yours2 ? 
I2 like2 Elsa2 	Mein2 Elsa2 ko1 like1 karta1 hun1 
she2 reminds2 of2 my2 friend2 of2 the2 same2 name2 	Wo1 mujhe1 mere1 same1 naam1 ke1 ek1 friend1 ki1 yaad1 dilati1 hai1 
also2 the2 character2 designs2 are2 cool1 	Character2 designs2 bhi1 cool1 hain1 
thats2 cool2 ! Anna2 reminds2 me2 of2 my2 girls2 - they2 are2 red-heads2 too2 	thats2 cool2 ! Anna1 mujhe1 meri1 ladkiyon1 ki1 yaad1 dilati1 hai1 - wo1 bhi2 red-heads2 hain2 
do1 you2 like2 the2 songs2 ? 	tumhe1 songs2 pasand1 aaye1 ? 
Of2 course2 - who2 doesnt2 ! We2 still2 sing2 them2 around2 our2 house2 ! 	Of2 course2 - who2 dosent2 ! Hum1 abhi1 bhi1 unko1 ghar1 mein1 gaate1 hain1 ! 
that2 is2 awesome2 ! 	Ye1 to2 awesome2 hai1 ! 
The2 first2 time2 we2 saw2 Frozen2 was2 on2 a2 Disney2 Cruise2 Ship2 	Pehli1 baar1 humne1 Frozen2 dekha1 tha1 ek1 Disney2 Cruise2 Ship2 par1 . 
what's1 your2 favorite2 ? 	aapka1 favorite1 kon1 sa1 hein1 ? 
I1 love1 Let1 it2 Go1 but2 also2 In2 Summer2 - especially2 now2 since2 its2 so2 cold2 ! Whats1 your2 favorite2 	muje1 pasand1 hein1 agar1 voh1 summer2 mein1 huva1 tho2 , especially2 ab1 toh1 cold2 hein1 . aapka1 favorite1 kya1 hein1 ? 
i1 don't2 remember2 	muje1 yaad1 nahi1 hein1 
do1 you2 have2 a2 favorite2 part2 of2 the2 movie2 	aapko1 is1 movie1 ka1 favorite2 part2 kya1 hein1 ? 
the2 snowman2 is2 a2 funny2 character2 	voh1 snowman2 , bahut1 funny2 character2 hein2 
he2 is2 hilarious2 . 	voh1 toh1 hilarious2 hein2 
olaf1 ? 	olaf1 ? 
yes1 	haan1 
do1 you2 have2 a2 favorite2 scene2 ? 	aapka1 favorite1 scene1 kya1 hein1 ? 
I2 really1 like2 the2 scene2 with2 the2 Trolls2 . The2 ending2 also2 gets2 me2 every2 time2 when2 Elsa2 saves2 Anna2 . 	muje1 toh1 uska1 trolls2 bahut1 pasand1 hein1 . Ending1 toh1 muje1 bahut1 pasand1 hein1 , Jab1 Elsa1 Anna1 ko1 bachaya1 hein1 . 
whats2 yours2 	aapaka1 kya1 hai1 
the2 ending2 is2 great2 	ant1 mahaan1 hai1 
the2 scene2 with2 the2 trolls2 too2 . 	trols2 ke1 saath1 drshy1 bhee1 . 
I2 hope2 the2 trolls2 are2 in2 the2 second2 movie2 more2 	mujhe1 ummeed1 hai1 ki1 trol1 doosaree1 philm1 mein1 adhik1 hain1 
haha1 maybe1 they2 will2 have2 their2 own2 spinoff2 movie2 	hah1 shaayad1 ve1 apanee1 khud1 kee1 spinoff2 philm2 hogee1 
that2 would2 be2 cute2 too1 	vah1 bhee1 pyaara1 hoga1 
nice2 chatting2 to1 you2 . Have2 a2 good2 day2 ! 	aapase1 achchha1 chaiting1 aapaka1 din1 shubh1 ho1 ! 
you2 too1 	aap1 bhee1 
hi1 	hi1 
Hello1 	hello1 
how1 are1 you2 doing2 	kaise1 ho1 aap1 
Im2 doing2 great2 . Have2 you2 seen2 Toy2 Story2 before2 ? 	Im2 doing2 great1 . kya1 aapne1 Toy1 Story2 pahle1 dekhi1 hai1 ? 
i1 did1 a2 long2 time2 ago2 	Maine1 bahut1 pahle1 dekhi1 thi1 . 
I1 love2 that2 movie2 	I1 love2 that2 movie2 
yes1 it2 was2 a2 big2 part2 of2 my2 childhood2 	yes1 ye1 mere1 childhood2 ka2 bada1 part1 hai1 
is2 was2 stared2 Tom2 Hanks2 as2 woody2 	Tom2 Hanks2 ke2 woody2 se2 start2 hota1 hai1 
yes1 i1 like2 buzz2 alot2 	yes1 mai1 buzz1 ko1 bahut1 like1 karti1 hu1 
who2 was2 your2 favorite2 	aapka1 favorite1 kaun1 tha1 
buzz2 light2 year2 	buzz2 light2 year2 
yes1 i1 really2 did2 not2 care2 for2 the2 third2 one2 i2 never2 seen2 it2 	yes1 mai1 really2 care2 nahi1 karti1 third2 one2 ke1 baare1 me1 , maine1 wo1 kabhi1 dekhi1 nahi1 
the2 director2 of2 the2 movie2 was2 John2 Lasseter2 dont1 know1 what2 else2 he2 made2 	movie1 ka1 directir1 John2 Lasseter2 tha1 , mujhe1 nahi1 pata1 usne1 aur1 kaun1 si1 movie2 banai1 hai1 . 
me2 either2 	MUJE1 BHI1 
I2 never2 saw2 the2 third2 one2 either2 	MEIN1 THIRD1 ONE1 THO1 NAHI1 DEKHA1 HON1 
yes2 disney2 has2 mostly2 lost2 me2 on2 their2 movies2 	HAAN1 , DISNEY1 THO1 KAAFI1 ACHE1 MOVIE1 BANATHE1 HEIN1 
the2 first2 toy2 story2 came2 out2 in2 1995.. wow1 that2 seems2 like2 such2 a2 long2 time2 ago2 	FIRST1 TOY1 STORY1 THO1 1995 MEIN1 AAYA1 .. KITNA1 LAMBHA1 TIME1 THA1 VOH1 
yeah1 that's1 a2 while2 ago2 	HAAN1 , KAAFI1 
when2 it2 came2 out2 the2 critics2 said2 it2 was2 a2 work2 of2 genius2 	JAB1 CRITICS1 AAYA1 THO1 , SABHI1 USKA1 WORK1 KA1 GENIUS1 SAMJE1 
i2 think2 that2 we2 both2 agree2 on2 that2 ? 	MUJE1 LAGTHA1 KI1 DONO1 AGREE1 KARENGE1 
definitly2 	DEFINITLY1 
it2 got2 a2 100 on2 rotten2 tomatoes2 that2 seems2 great2 	ROTTEN1 TOMATOES1 NE1 TOH1 100 DIYA1 , JO1 ITNA1 GREAT1 HEIN1 
looking2 at2 the2 plot2 points2 made2 me1 remember2 some2 good2 sceens2 	LOOK1 , PLOT2 POINTS2 NE1 THO1 MUJE1 ACHE1 SCENES1 YAAD1 KIYA1 
yes1 it2 did2 the2 critics2 also2 said2 tom2 hanks2 voice2 of2 woody2 is2 one2 of2 the2 best2 animated2 features2 in2 history2 	haan1 , yeh1 critics2 ka1 hi1 hey2 , also2 woody2 ka1 voice2 hanks2 ne1 diya1 jo1 unke1 best2 animated2 features2 mein2 yek1 hein1 unka1 history1 mein1 
yes1 	haan1 
like2 when2 buzz2 was2 trying2 to2 impress2 all2 the2 other2 toys2 with2 his2 cool2 new2 modern2 features2 	han1 jab1 buzz1 , un1 saare1 toys1 ko2 impress1 karne1 pe1 try1 kartha1 tha1 us1 cool2 new2 modern2 features2 se2 
yes2 that2 was2 great2 	haan1 , badiya1 hein1 
was2 it2 this2 one2 when2 they2 go2 in2 that2 room2 with2 that2 baby2 toy2 	tho1 vo1 hi1 room1 tha1 kaha1 us1 baby2 toy2 hein2 
I2 cant2 remember2 I2 think2 so2 	muje1 itna1 yaad1 nahi1 hein1 , lekin1 muje1 bhi1 aise1 hi1 kuch1 lagtha1 hein1 
i1 get2 confuse2 with2 this2 one2 and2 two2 	mein1 tho1 in1 yek1 aur1 do1 ko1 confuse1 ho1 gaya1 
I2 remeber2 when2 there2 were2 trying2 to2 get2 on2 the2 moving2 truck2 	muje1 bas1 itna1 yaad1 hein1 ki1 voh1 us1 moving2 truck2 par1 jaane1 ko1 try1 kar1 rahe1 they1 
it2 was2 fun2 remembering2 this2 one2 	itna1 fun2 remembering2 hey2 yar1 
you2 have2 a2 great2 day2 	have2 a2 great2 day2 yar1 
bye1 	bye1 
well2 It2 was2 cool2 talking2 whit1 you2 have2 a2 good2 day2 	aapke1 ke1 saath1 baat1 karte1 hue1 accha1 laga1 , good2 day2 
bless2 	bless2 
yes1 	yes1 
hi1 	hi1 
hello1 ! 	hello1 ! 
The2 movie2 that2 was2 picked2 , I2 ' 	movie2 jo1 chuni1 gayi1 , ' I1 
I've2 never2 seen2 . 	maine1 kabhi1 nahi1 dekhi1 
Hello1 , what's1 the2 name2 of2 the2 movie2 ? 	HELLO1 , MOVIE1 KA1 NAM1 KAY1 HAI1 ? 
Hi1 , it's1 the2 Imitation2 Game2 	HI1 , WO1 the2 Imitation2 Game1 HAI1 
Does2 it2 seem2 interesting2 ? 	kay1 wo2 interesting2 lag1 rahi1 hai1 ? 
Definitely2 , it2 takes2 place2 during2 WWII2 and2 it's2 decrypting2 spy2 code2 messages2 	jaroor1 , ye1 sab1 during2 WWII2 huva1 tha1 or2 it's2 decrypting2 spy2 code2 messages2 
Cool2 , is2 there2 a2 main2 lead2 actor2 or2 actress2 that's2 easily2 identifiable2 ? 	cool1 , kay1 us1 me1 main2 leaf2 actor2 or2 actress2 easily2 identifiable2 hai2 
Yes1 , it2 stars2 Benedict2 Cumberbatch2 and2 Keira2 Knightly2 , it's2 got1 a2 pretty2 good2 score2 on2 Rotten2 Tomatoes2 and2 CinemaScore2 . 	ha1 , iss1 me1 Benedict2 Cumberbatch2 and2 Keira2 Knightly2 hai2 , is1 co1 accha1 score1 mila1 hai1 Tomatoes2 and2 CinemaScore2 pe1 
Good2 to2 know2 , what2 studio2 is2 it2 produced2 by2 ? 	good2 to2 know2 , kis2 studio2 ne2 isse2 produce2 kiya1 hai1 ? 
I'm2 not2 sure2 about2 that2 but2 did2 you1 know2 there2 was2 an2 earlier2 movie2 about2 the2 same2 book2 ? 	Muze1 nahi1 pata1 uske1 bareme1 , per2 tum1 ko1 pata1 hai1 kay1 there2 was2 an2 earlier2 movie2 about2 the2 same2 book2 ? 
So2 it's2 based2 on2 a2 book2 ? 	to1 , ye1 kitap1 be2 based2 hai1 ? 
Yes2 , it's2 based2 on2 Alan2 Turing2 : The2 Enigma2 and2 the2 earlier2 movie2 was2 called2 Breaking2 the2 Code2 , it2 was2 on2 BBC2 . 	yes1 , ye1 based2 hai1 Alan2 Turing2 : The2 Enigma2 or2 pehele1 ki1 movie1 ka1 nam1 tha1 Breaking2 the2 Code2 , wo1 BBC2 pe1 thi1 
Good2 to2 know2 , although2 I2 didn't2 ask2 ; does2 it2 say2 who2 starred2 in2 the2 BBC2 version2 ? 	jaanakaar1 achchha1 laga1 , haalaanki1 mainne1 poochha1 nahin1 ; kya1 yah1 kahana1 hai1 ki1 BBC2 sanskaran1 mein1 kisane1 abhinay1 kiya1 
No2 , but2 I've2 got2 info2 on2 a2 few2 of2 the2 key2 scenes2 if2 you're2 interested2 in2 knowing2 ? 	nahin1 , lekin1 mujhe1 kuchh1 pramukh1 drshyon1 kee1 jaanakaaree1 milee1 hai1 yadi1 aap1 jaanane1 mein1 ruchi1 rakhate1 hain1 ? 
Absolutely2 , are2 the2 scenes2 taken2 from2 the2 book2 , the2 BBC2 version2 , or2 the2 movie2 ? 	poorn2 roop1 se1 , pustak1 se1 lie1 gae1 drshy1 hain1 , BBC2 sanskaran2 , ya1 philm1 ? 
From2 the2 2014 movie2 with2 Cumberbatch2 and2 Knightley2 . The2 earliest2 scene2 has2 Turing2 in2 boarding2 school2 being2 bullied2 , and2 he2 makes2 a2 friend2 there2 that2 gets2 him2 interested2 in2 cryptography2 . 	2014 kee1 philm1 se1 kambarabaich1 aur1 naitalee1 ke1 saath1 . shuruaatee1 drshy1 mein1 tyooring1 in2 bording2 skool1 ko1 badanaam1 kiya1 ja1 raha1 hai1 , aur1 vah1 vahaan1 ek1 dost1 banaata1 hai1 jo1 use1 kriptograaphee1 mein1 dilachaspee1 leta1 hai1 . 
That's2 cool2 , so2 it's2 sort2 of2 a2 biographical2 movie2 ? 	yah1 achchha1 hai1 , to1 yah1 ek1 jeevanee1 philm1 kee1 tarah1 hai1 ? 
The2 next2 scene2 is2 when2 Britain2 declares2 war2 on2 Germany2 , Turing2 goes2 to2 work2 at2 a2 place2 called2 Bletchley2 Park2 that2 is2 trying2 to2 decode2 the2 Nazi's2 Enigma2 Machine2 . Yes2 , it's2 a2 historical2 drama2 . 	agala2 drshy1 hai1 jab1 briten1 ne1 jarmanee1 par1 yuddh1 kee1 ghoshana1 kee1 , tyooring1 ek1 jagah1 par1 kaam1 karane1 jaata1 hai1 jise1 bailechale1 paark1 kaha1 jaata1 hai1 vah1 naajee1 kee1 pahelee1 masheen1 ko1 dikod1 karane1 kee1 koshish1 kar1 raha1 hai1 . haan1 , yah1 ek1 aitihaasik1 naatak1 hai1 . 
Do1 you1 want2 to2 hear2 the2 plot2 ? 	kya1 aap1 kathaanak1 sunana1 chaahate1 hain1 ? 
Does2 it2 mention2 how2 accurate2 the2 movie2 is2 as2 opposed2 to2 real-life2 events2 ; that's2 why2 I2 was2 asking2 if2 it2 was2 biographical2 as2 opposed2 to2 simply2 historical2 ? 	kya1 yah1 ullekh1 karata1 hai1 philm1 vaastavik1 jeevan1 kee1 ghatanaon1 ke1 vipareet1 kitanee1 sahee1 hai1 ; isalie1 main1 poochh1 raha1 tha1 yadi1 yah1 keval1 aitihaasik1 ke1 vipareet1 jeevanee1 thee1 ? 
Oh1 . One2 of2 the2 critics2 says2 it2 rearranges2 the2 time2 sequences2 and2 invents2 fictional2 characters2 . 	oh1 . ek1 aalochak1 kahata1 hai1 yah1 samay1 drshyon1 ko1 punarvyavasthit1 karata1 hai1 aur1 kaalpanik1 paatron1 ko1 laagoo1 karata1 hai1 . 
Thanks2 for2 the2 clarification2 , are2 there2 any2 more2 excerpts2 ? 	spashteekaran1 ke1 lie1 dhanyavaad1 , kya1 koee1 aur1 ansh1 hain1 ? 
Yes2 , the2 plot2 sounds2 really2 good2 . Turing2 manages2 to2 decrypt2 the2 Nazi2 code2 machine2 , but2 the2 Nazis2 change2 the2 code2 every2 day2 . So1 they2 all2 realize2 they2 can't2 act2 on2 every2 day's2 decrypted2 messages2 or2 the2 Nazis2 will2 know2 that2 their2 code2 machine2 is2 useless2 . 	haan1 , kathaanak1 vaastav1 mein1 achchha1 lagata1 hai1 . tyooring1 naajee1 kod1 masheen1 ko1 dikript1 karane1 ka1 prabandhan1 karata1 hai1 , lekin1 naajiyon1 ne1 har1 din1 kod1 badal1 diya1 . isalie1 ve1 sabhee1 mahasoos1 karate1 hain1 ki1 ve1 har1 din1 dikript1 kie1 gae1 sandeshon1 par1 kaam1 nahin1 kar1 sakate1 hain1 ya1 naajiyon1 ko1 pata1 chal1 jaega1 ki1 unakee1 kod1 masheen1 bekaar1 hai1 . 
Interesting2 , does2 it2 mention2 how2 it's2 resolved2 , or2 does2 it2 leave2 you2 sort2 of2 on2 the2 cliff2 ? 	dilachasp1 hai1 , yah1 ullekh1 karata1 hai1 ki1 yah1 kaise1 hal1 ho1 gaya1 hai1 , ya1 kya1 yah1 aapako1 chattaan1 par1 chhodata1 hai1 ? 
It2 kind2 of2 leaves2 a2 cliffhanger2 there2 . There2 are2 a2 couple2 of2 twists2 , though2 . 	yah1 vahaan1 ek1 kliphanar2 ko1 chhod1 deta1 hai1 . haalaanki1 kuchh1 jode1 hain1 . 
Does2 it2 say2 whether2 the2 main2 characters2 survive2 to2 the2 end2 , or2 are2 they2 wounded2 , etcetera2 ? 	kya1 yah1 kahata1 hai1 ki1 kya1 mukhy1 paatr1 ant1 tak1 jeevit1 rahate1 hain1 , ya1 ve1 ghaayal1 hote1 hain1 , vagairah1 ? 
It2 doesn't2 tell2 . One2 of2 the2 twists2 in2 the2 plot2 is2 that2 a2 Russian2 spy2 is2 discovered2 by2 Turing2 . Which2 isn't2 surprising2 at2 first2 , but2 then2 we2 find2 out2 that2 British2 intelligence2 planted2 him2 to2 tell2 the2 Russians2 secrets2 they2 wanted2 them2 to2 know2 , after2 all2 Russia2 and2 Great2 Britain2 were2 on2 the2 same2 side2 in2 WWII2 . 	yah1 nahin1 bataata1 . saajish1 mein1 ek1 tvist1 yah1 hai1 ki1 tyooring1 dvaara1 ek1 roosee1 jaasoos1 kee1 khoj1 kee1 jaatee1 hai1 . yah1 pahalee1 baar1 mein1 aashcharyachakit1 karane1 vaala1 nahin1 hai1 , lekin1 phir1 hamen1 pata1 chala1 ki1 british1 khuphiya1 ne1 unhen1 roos1 ke1 rahasyon1 ko1 bataane1 ke1 lie1 lagaaya1 tha1 , jo1 ve1 jaanana1 chaahate1 the1 , aakhirakaar1 roos1 aur1 gret2 briten2 wwii1 mein1 ek1 hee1 taraph1 the2 . 
That's2 sort2 of2 a2 twisted2 narrative2 of2 the2 political2 situation2 , but2 whatever2 , anything2 else2 super2 useful2 or2 interesting2 , ( it2 sounds2 like2 a2 great2 movie2 )? 	yah1 raajaneetik1 sthiti1 ke1 ek1 mod1 kee1 tarah1 hai1 , lekin1 jo1 kuchh1 bhee1 , supar1 upayogee1 ya1 dilachasp1 hai1 , ( yah1 ek1 mahaan1 philm1 kee1 tarah1 lagata1 hai1 )? 
When2 I2 watched2 the2 movie2 , I2 liked2 the2 codebreaking2 machine2 they2 had2 , It2 was2 this2 massive2 technical2 looking2 wall2 that2 was2 way2 before2 the2 time2 of2 WWII2 . Yes2 , there's2 another2 twist2 in2 the2 plot2 where2 the2 Russian2 spy2 threatens2 to2 tell2 everyone2 that2 Turing2 is2 homosexual2 . 	jab1 mainne1 philm1 dekhee1 , to1 mujhe1 unake1 paas1 kodabreking1 masheen1 pasand1 aaee1 , yah1 is1 vishaal1 takaneekee1 dikhane1 vaalee1 deevaar1 thee1 jo1 wwii1 ke1 samay1 se1 pahale1 thee1 . haan1 , saajish1 mein1 ek1 aur1 mod1 hai1 jahaan1 roosee1 jaasoos1 ne1 sabhee1 ko1 yah1 bataane1 kee1 dhamakee1 dee1 ki1 tyooring1 samalaingik1 hai1 . 
How2 did2 the2 spy2 know2 that2 Turing2 was2 gay2 ? 	jaasoos1 ko1 kaise1 pata1 chala1 ki1 tyooring1 samalaingik1 tha1 ? 
Turing2 told2 the2 spy2 , because2 Turing2 was2 about2 to2 get2 married2 to2 Clarke2 ( Knightley2 ). It2 sounds2 like2 high2 drama2 to2 me1 . The2 spy2 ( before2 Turing2 realized2 he2 was2 a2 spy2 ) told2 Turing2 to2 keep2 his2 homosexuality2 a2 secret2 . I2 guess2 they2 were2 pretty2 tight2 . 	tyooring1 ne1 jaasoos1 ko1 bataaya1 , kyonki1 tyooring1 kee1 shaadee1 klaark1 ( naitalee1 ) se1 hone1 vaalee1 thee1 . yah1 mujhe1 uchch1 naatak1 kee1 tarah1 lagata1 hai1 . jaasoos1 ( tyooring1 se1 pahale1 ehasaas1 hua1 ki1 vah1 ek1 jaasoos1 tha1 ) ne1 tyooring1 ko1 apanee1 samalaingikata1 ko1 gupt1 rakhane1 ke1 lie1 kaha1 tha1 . mujhe1 lagata1 hai1 ki1 ve1 bahut1 tang1 the2 . 
Wow1 , that's1 a2 big2 ol2 ' ball2 of2 secrecy2 for2 that2 time2 period2 , is2 there2 anything2 else2 about2 the2 plot2 or2 whatever2 you2 should2 tell2 me1 ? 	vaah1 , yah1 us1 samay1 kee1 avadhi1 ke1 lie1 ek1 badee1 raajabhaasha1 gopaneeyata1 kee1 gend1 hai1 , kya1 saajish1 ke1 baare1 mein1 kuchh1 aur1 hai1 ya1 jo1 kuchh1 bhee1 aapako1 mujhe1 bataana1 chaahie1 ? 
